symbol,lastPrice,volume
PAXUSDT,0.00000000,0.00000000
PAXETH,0.00000000,0.00000000
RVNBTC,0.00000047,5187184.00000000
DCRBTC,0.00040500,4844.36400000
DCRBNB,0.00000000,0.00000000
USDCBNB,0.00000000,0.00000000
MITHBTC,0.00000000,0.00000000
MITHBNB,0.00000000,0.00000000
BCHABCBTC,0.00000000,0.00000000
BCHSVBTC,0.00000000,0.00000000
BCHABCUSDT,0.00000000,0.00000000
BCHSVUSDT,0.00000000,0.00000000
BNBPAX,0.00000000,0.00000000
BTCPAX,0.00000000,0.00000000
ETHPAX,0.00000000,0.00000000
XRPPAX,0.00000000,0.00000000
EOSPAX,0.00000000,0.00000000
XLMPAX,0.00000000,0.00000000
RENBTC,0.00000146,519045.00000000
RENBNB,0.00000000,0.00000000
BNBTUSD,212.80000000,5002.15300000
XRPTUSD,0.51920000,1301527.00000000
EOSTUSD,0.00000000,0.00000000
XLMTUSD,0.00000000,0.00000000
BNBUSDC,212.70000000,1192.93900000
BTCUSDC,29482.61000000,1430.20548000
ETHUSDC,1604.04000000,8663.53810000
XRPUSDC,0.00000000,0.00000000
EOSUSDC,0.00000000,0.00000000
XLMUSDC,0.00000000,0.00000000
USDCUSDT,0.99960000,553315800.00000000
ADATUSD,0.25090000,229122.00000000
TRXTUSD,0.00000000,0.00000000
NEOTUSD,0.00000000,0.00000000
TRXXRP,0.17575000,2327371.70000000
XZCXRP,0.00000000,0.00000000
PAXTUSD,0.00000000,0.00000000
USDCTUSD,0.00000000,0.00000000
USDCPAX,0.00000000,0.00000000
LINKUSDT,7.63500000,4259843.05000000
LINKTUSD,7.65200000,1022.09000000
LINKPAX,0.00000000,0.00000000
LINKUSDC,0.00000000,0.00000000
WAVESUSDT,1.49300000,1762752.04000000
WAVESTUSD,0.00000000,0.00000000
WAVESPAX,0.00000000,0.00000000
WAVESUSDC,0.00000000,0.00000000
BCHABCTUSD,0.00000000,0.00000000
BCHABCPAX,0.00000000,0.00000000
BCHABCUSDC,0.00000000,0.00000000
BCHSVTUSD,0.00000000,0.00000000
BCHSVPAX,0.00000000,0.00000000
BCHSVUSDC,0.00000000,0.00000000
LTCTUSD,63.54000000,925.11700000
LTCPAX,0.00000000,0.00000000
LTCUSDC,0.00000000,0.00000000
TRXPAX,0.00000000,0.00000000
TRXUSDC,0.00000000,0.00000000
BTTBTC,0.00000000,0.00000000
BTTBNB,0.00000000,0.00000000
BTTUSDT,0.00000000,0.00000000
BNBUSDS,0.00000000,0.00000000
BTCUSDS,0.00000000,0.00000000
USDSUSDT,0.00000000,0.00000000
USDSPAX,0.00000000,0.00000000
USDSTUSD,0.00000000,0.00000000
USDSUSDC,0.00000000,0.00000000
BTTPAX,0.00000000,0.00000000
BTTTUSD,0.00000000,0.00000000
BTTUSDC,0.00000000,0.00000000
ONGBNB,0.00000000,0.00000000
ONGBTC,0.00000803,104420.00000000
ONGUSDT,0.23570000,1609746.00000000
HOTBNB,0.00000000,0.00000000
HOTUSDT,0.00129000,3242599394.00000000
ZILUSDT,0.01681000,124793491.50000000
ZRXBNB,0.00000000,0.00000000
ZRXUSDT,0.21030000,14599891.00000000
FETBNB,0.00103000,179528.00000000
FETBTC,0.00000743,1108952.00000000
FETUSDT,0.21890000,67611090.00000000
BATUSDT,0.17920000,3429616.00000000
XMRBNB,0.72920000,207.95500000
XMRUSDT,154.80000000,65967.14800000
ZECBNB,0.00000000,0.00000000
ZECUSDT,25.43000000,79303.47000000
ZECPAX,0.00000000,0.00000000
ZECTUSD,0.00000000,0.00000000
ZECUSDC,0.00000000,0.00000000
IOSTUSDT,0.00766000,297978469.00000000
CELRBNB,0.00005294,988615.00000000
CELRBTC,0.00000039,1242181.00000000
CELRUSDT,0.01163000,39848304.00000000
ADAPAX,0.00000000,0.00000000
ADAUSDC,0.00000000,0.00000000
NEOPAX,0.00000000,0.00000000
NEOUSDC,0.00000000,0.00000000
DASHBNB,0.00000000,0.00000000
DASHUSDT,25.46000000,48661.09600000
NANOUSDT,0.00000000,0.00000000
OMGBNB,0.00000000,0.00000000
OMGUSDT,0.44900000,2440329.80000000
THETAUSDT,0.58200000,3612386.70000000
ENJUSDT,0.20780000,6098983.40000000
MITHUSDT,0.00000000,0.00000000
MATICBNB,0.00251300,306848.00000000
MATICBTC,0.00001813,2482105.50000000
MATICUSDT,0.53460000,61469566.90000000
ATOMBNB,0.02999000,7083.33000000
ATOMBTC,0.00021670,74634.28000000
ATOMUSDT,6.38500000,1505910.95000000
ATOMUSDC,0.00000000,0.00000000
ATOMPAX,0.00000000,0.00000000
ATOMTUSD,0.00000000,0.00000000
ETCUSDC,0.00000000,0.00000000
ETCPAX,0.00000000,0.00000000
ETCTUSD,0.00000000,0.00000000
BATUSDC,0.00000000,0.00000000
BATPAX,0.00000000,0.00000000
BATTUSD,0.00000000,0.00000000
PHBBNB,0.00000000,0.00000000
PHBBTC,0.00001907,264594.80000000
PHBUSDC,0.00000000,0.00000000
PHBTUSD,0.00000000,0.00000000
PHBPAX,0.00000000,0.00000000
TFUELBNB,0.00000000,0.00000000
TFUELBTC,0.00000114,2630725.00000000
TFUELUSDT,0.03360000,18740477.00000000
TFUELUSDC,0.00000000,0.00000000
TFUELTUSD,0.00000000,0.00000000
TFUELPAX,0.00000000,0.00000000
ONEBNB,0.00004295,326386.00000000
ONEBTC,0.00000031,6409157.00000000
ONEUSDT,0.00914000,190290439.40000000
ONETUSD,0.00000000,0.00000000
ONEPAX,0.00000000,0.00000000
ONEUSDC,0.00000000,0.00000000
FTMBNB,0.00084800,130710.00000000
FTMBTC,0.00000612,2061154.00000000
FTMUSDT,0.18050000,31652939.00000000
FTMTUSD,0.00000000,0.00000000
FTMPAX,0.00000000,0.00000000
FTMUSDC,0.00000000,0.00000000
BTCBBTC,0.00000000,0.00000000
BCPTTUSD,0.00000000,0.00000000
BCPTPAX,0.00000000,0.00000000
BCPTUSDC,0.00000000,0.00000000
ALGOBNB,0.00042600,104111.00000000
ALGOBTC,0.00000307,1843186.00000000
ALGOUSDT,0.09060000,65226010.00000000
ALGOTUSD,0.00000000,0.00000000
ALGOPAX,0.00000000,0.00000000
ALGOUSDC,0.00000000,0.00000000
USDSBUSDT,0.00000000,0.00000000
USDSBUSDS,0.00000000,0.00000000
GTOUSDT,0.00000000,0.00000000
GTOPAX,0.00000000,0.00000000
GTOTUSD,0.00000000,0.00000000
GTOUSDC,0.00000000,0.00000000
ERDBNB,0.00000000,0.00000000
ERDBTC,0.00000000,0.00000000
ERDUSDT,0.00000000,0.00000000
ERDPAX,0.00000000,0.00000000
ERDUSDC,0.00000000,0.00000000
DOGEBNB,0.00000000,0.00000000
DOGEBTC,0.00000202,22474009.00000000
DOGEUSDT,0.05980000,392912039.00000000
DOGEPAX,0.00000000,0.00000000
DOGEUSDC,0.00000000,0.00000000
DUSKBNB,0.00000000,0.00000000
DUSKBTC,0.00000378,503798.00000000
DUSKUSDT,0.11130000,9073240.00000000
DUSKUSDC,0.00000000,0.00000000
DUSKPAX,0.00000000,0.00000000
BGBPUSDC,0.00000000,0.00000000
ANKRBNB,0.00008560,110427.00000000
ANKRBTC,0.00000067,1462915.00000000
ANKRUSDT,0.01991000,60246255.00000000
ANKRTUSD,0.00000000,0.00000000
ANKRPAX,0.00000000,0.00000000
ANKRUSDC,0.00000000,0.00000000
ONTPAX,0.00000000,0.00000000
ONTUSDC,0.00000000,0.00000000
WINBNB,0.00000030,442793087.00000000
WINBTC,0.00000000,0.00000000
WINUSDT,0.00006250,15750343906.00000000
WINUSDC,0.00000000,0.00000000
COSBNB,0.00002079,1226748.00000000
COSBTC,0.00000016,68625727.00000000
COSUSDT,0.00445000,138427547.60000000
TUSDBTUSD,0.00000000,0.00000000
NPXSUSDT,0.00000000,0.00000000
NPXSUSDC,0.00000000,0.00000000
COCOSBNB,0.00000000,0.00000000
COCOSBTC,0.00000000,0.00000000
COCOSUSDT,0.00000000,0.00000000
MTLUSDT,1.30100000,1786914.20000000
TOMOBNB,0.00000000,0.00000000
TOMOBTC,0.00005163,39680.30000000
TOMOUSDT,1.52240000,2006984.50000000
TOMOUSDC,0.00000000,0.00000000
PERLBNB,0.00000000,0.00000000
PERLBTC,0.00000000,0.00000000
PERLUSDC,0.00000000,0.00000000
PERLUSDT,0.01752000,35331662.50000000
DENTUSDT,0.00062500,3156516285.00000000
MFTUSDT,0.00000000,0.00000000
KEYUSDT,0.00614700,482594524.00000000
STORMUSDT,0.00000000,0.00000000
DOCKUSDT,0.01475000,39934392.00000000
WANUSDT,0.17440000,722170.00000000
FUNUSDT,0.00432800,2278134975.00000000
CVCUSDT,0.08560000,23704006.00000000
BTTTRX,0.00000000,0.00000000
WINTRX,0.00068900,180005453.90000000
CHZBNB,0.00027320,350276.00000000
CHZBTC,0.00000197,3699321.00000000
CHZUSDT,0.05811000,174593686.00000000
BANDBNB,0.00000000,0.00000000
BANDBTC,0.00004933,159400.10000000
BANDUSDT,1.45500000,4263883.50000000
BNBBUSD,212.60000000,13102.94000000
BTCBUSD,29481.71000000,1075.81026000
BUSDUSDT,0.99980000,54302845.00000000
BEAMBNB,0.00000000,0.00000000
BEAMBTC,0.00000000,0.00000000
BEAMUSDT,0.00000000,0.00000000
XTZBNB,0.00000000,0.00000000
XTZBTC,0.00002179,187924.80000000
XTZUSDT,0.64300000,2963742.70000000
RENUSDT,0.04291500,45542375.00000000
RVNUSDT,0.01405000,63638317.60000000
HCUSDT,0.00000000,0.00000000
HBARBNB,0.00022290,690569.00000000
HBARBTC,0.00000161,4514717.00000000
HBARUSDT,0.04740000,96914809.00000000
NKNBNB,0.00000000,0.00000000
NKNBTC,0.00000274,169935.00000000
NKNUSDT,0.08070000,6138559.00000000
XRPBUSD,0.51900000,24283790.00000000
ETHBUSD,1603.92000000,12588.84100000
BCHABCBUSD,0.00000000,0.00000000
LTCBUSD,63.39000000,20758.68900000
LINKBUSD,7.63600000,234281.90000000
ETCBUSD,15.33000000,10461.54000000
STXBNB,0.00291600,365285.60000000
STXBTC,0.00002104,2482087.10000000
STXUSDT,0.61920000,57005559.80000000
KAVABNB,0.00275000,11342.60000000
KAVABTC,0.00001990,149133.80000000
KAVAUSDT,0.58300000,9926055.20000000
BUSDNGN,0.00000000,0.00000000
BNBNGN,0.00000000,0.00000000
BTCNGN,34939998.00000000,15.68680000
ARPABNB,0.00018830,63538.00000000
ARPABTC,0.00000137,412018.00000000
ARPAUSDT,0.04010000,25358448.00000000
TRXBUSD,0.09110000,3531646.30000000
EOSBUSD,0.54800000,123298.40000000
IOTXUSDT,0.01758000,58913361.00000000
RLCUSDT,0.96600000,638343.30000000
MCOUSDT,0.00000000,0.00000000
XLMBUSD,0.10840000,2240018.00000000
ADABUSD,0.25050000,4376291.60000000
CTXCBNB,0.00000000,0.00000000
CTXCBTC,0.00000408,271816.00000000
CTXCUSDT,0.12060000,2133269.00000000
BCHBNB,1.14400000,698.94800000
BCHBTC,0.00825000,10128.98000000
BCHUSDT,243.10000000,163619.89500000
BCHUSDC,0.00000000,0.00000000
BCHTUSD,243.30000000,151.17600000
BCHPAX,0.00000000,0.00000000
BCHBUSD,242.60000000,5172.08800000
BTCRUB,2857538.00000000,23.88802000
ETHRUB,155394.50000000,59.39470000
XRPRUB,50.30000000,125835.00000000
BNBRUB,20603.10000000,100.02300000
TROYBNB,0.00000000,0.00000000
TROYBTC,0.00000000,0.00000000
TROYUSDT,0.00223700,309361227.00000000
BUSDRUB,96.89000000,168564.00000000
QTUMBUSD,2.53700000,6738.60000000
VETBUSD,0.01653000,18022062.10000000
VITEBNB,0.00000000,0.00000000
VITEBTC,0.00000041,2645432.00000000
VITEUSDT,0.01224000,47027634.90000000
FTTBNB,0.00000000,0.00000000
FTTBTC,0.00000000,0.00000000
FTTUSDT,1.05200000,5782717.51000000
BTCTRY,834305.00000000,335.39352000
BNBTRY,6015.00000000,3538.28700000
BUSDTRY,28.28000000,5611029.00000000
ETHTRY,45370.00000000,1165.93530000
XRPTRY,14.68400000,9683585.00000000
USDTTRY,28.30000000,72756241.00000000
USDTRUB,96.95000000,1265905.00000000
BTCEUR,27878.03000000,624.55958000
ETHEUR,1517.10000000,5634.90350000
BNBEUR,201.10000000,3513.33300000
XRPEUR,0.49020000,3692335.00000000
EURBUSD,1.05760000,266916.00000000
EURUSDT,1.05700000,18351504.20000000
OGNBNB,0.00000000,0.00000000
OGNBTC,0.00000371,468061.00000000
OGNUSDT,0.10930000,29792639.00000000
DREPBNB,0.00000000,0.00000000
DREPBTC,0.00000844,373784.00000000
DREPUSDT,0.24870000,3089364.00000000
BULLUSDT,0.00000000,0.00000000
BULLBUSD,0.00000000,0.00000000
BEARUSDT,0.00000000,0.00000000
